2.1039,3.4865,2.3438,2.6535,1.9149,3.4019,3.978,3.2876,3.9467,3.3072,3.4198
1.7592,2.9404,2.0093,2.2419,1.821,3.1469,3.1601,2.8328,3.1171,3.0721,2.594
6.1532,7.1778,6.5365,6.8227,6.4406,7.5052,7.2353,7.3459,7.4539,7.3443,7.4484
2.3737,2.8386,2.1724,2.6676,2.2044,2.8495,2.9133,2.9174,2.8335,2.8269,2.8689
0.8133,2.5186,1.8037,1.7742,0.8331,2.3178,2.954,2.5963,2.9586,3.1302,3.411
2.3806,2.6172,2.2394,2.3388,1.836,3.1963,3.5848,3.4812,3.3278,3.0575,3.1573
0.2719,1.3124,1.0044,1.2176,0.2545,1.6268,2.2547,1.6497,1.4175,1.6167,1.6826
3.3131,3.9889,3.3275,3.6227,3.4906,3.9447,3.8989,3.9013,3.9316,3.6589,3.8493
1.3765,1.8973,1.8599,1.5359,0.9552,2.1471,2.7298,1.9509,2.3754,2.5479,2.4115
0,0.8123,0,0.3027,0.1293,0.8704,0.5383,0.6403,0.8963,0.7065,0.5856
0.1438,0.4916,0.3089,0.3229,0.1038,0.7266,0.7969,0.5251,0.5264,0.346,0.4832
0.2049,0.3646,0.2575,0.2418,0.069,0.563,0.5993,0.4232,0.4129,0.3924,0.3281
0.0144,0.125,0.0623,0.0339,0.0087,0.1914,0.2187,0.1756,0.2484,0.2386,0.2998
0.2787,0.3429,0.1765,0.3772,0.0217,0.5084,0.8111,0.2865,0.8912,0.5767,0.5257
0,0.0937,0,0.0186,0,0.0449,0.0725,0.0178,0.0926,0.0347,0.0392
0.1404,0.5059,0.3281,0.263,0.2196,0.4622,0.4914,0.3113,0.6852,0.5488,0.6129
0.2755,1.0153,0.6067,0.8783,0.897,1.1846,1.5027,1.2226,1.5086,0.9357,1.3144
2.3651,2.9698,2.4483,2.2038,2.5409,2.8405,3.1054,2.7166,3.0322,2.6526,2.9167
3.5205,4.5914,4.2562,3.8141,3.2518,4.5449,4.878,4.9246,5.1233,5.271,5.448
2.1309,2.3567,1.9644,1.953,2.0571,2.7601,3.0615,2.6936,2.9533,2.8607,3.1455
0.0446,0.5081,0.1228,0.3216,0.1101,0.2971,1.0777,0.5082,0.5354,0.6321,0.6794
0.4903,0.593,0.4487,0.459,0.0982,0.7057,1.1416,0.78,0.9439,0.4168,0.8895
1.3032,2.3792,1.4079,1.38,1.9726,2.3522,2.6078,2.5337,2.9164,2.5163,2.7267
4.3505,5.1008,4.4879,4.6469,4.0046,5.4354,5.5988,5.3403,5.4349,6.0108,6.0514
0.4916,0.7352,0.2237,0.6242,0.4246,1.512,1.4565,1.181,1.5891,0.7958,0.8471
3.8899,4.531,4.4059,4.4653,4.0459,4.7874,4.6897,4.4473,4.6394,4.54,4.4495
0.2061,0.7316,0.4466,0.6938,0.6541,0.8825,1.1004,0.9304,1.1406,0.6603,1.0121
1.0059,0.9573,0.8402,1.3203,0.7185,2.2762,2.6442,2.3275,2.5435,1.9148,1.987
0.1054,0.308,0.2735,0.1023,0.1106,0.5438,0.5245,0.3496,0.556,0.4661,0.2571
0,0.1881,0,0,0,0.0876,0.268,0.0692,0.1701,0.1328,0.2785
0.2351,0.5089,0.2733,0.1301,0.2062,0.3781,0.4239,0.4367,0.4984,0.4282,0.4964
0.9016,1.3043,1.2879,1.4674,1.2561,1.7746,1.9548,1.5212,2.1158,1.8869,1.8622
3.0743,4.6778,3.9056,4.0922,3.6121,5.1037,4.7099,5.6412,5.5914,5.2803,5.5598
0.6767,1.329,1.191,0.7283,0.7048,1.5321,2.5966,1.6216,1.5615,1.2935,1.7996
0.4394,1.0251,0.3953,0.2718,0.3251,1.1545,1.7917,1.1379,1.6447,0.2439,1.2877
1.0871,2.241,1.251,1.4307,1.0112,1.8007,1.8507,2.3267,2.1943,1.7935,1.4645
3.4507,3.4479,3.3178,3.2748,2.907,3.9444,4.2505,4.2079,4.0099,3.7735,4.208
0.4797,0.8774,0.3567,0.5862,0.6341,1.3292,1.3809,1.4967,1.9785,1.3024,1.879
2.4045,2.9662,2.6317,2.708,2.6798,3.1649,3.2143,3.4225,3.2229,3.2675,2.9055
0.5928,1.367,1.1986,0.9243,0.6549,1.7762,1.8276,1.9069,1.3983,1.3139,1.4578
1.275,2.0826,1.7442,1.6283,0.7212,2.1909,2.342,2.4796,1.9306,1.997,1.8093
2.3412,2.6111,2.0772,2.6274,2.3695,2.5779,2.8212,2.688,2.9371,2.8468,2.5949
0.0805,1.6,0.9108,1.0784,0.0526,1.6308,1.9126,2.0066,1.0788,1.634,1.3983
0,0.3813,0.1803,0.3028,0,0.5127,0.9455,0.1534,0.6067,0.1506,0.3908
0.4693,1.0972,0.7191,0.6948,0.5509,1.574,1.4617,1.0963,1.1685,1.0172,1.7457
5.6689,6.2851,5.4826,5.816,5.6951,6.9667,6.9064,6.829,6.5941,6.8167,7.3647
1.861,2.51,1.7323,1.9527,2.1782,2.7444,2.9516,3.0631,3.0996,3.2349,3.2457
0.3971,0.4817,0.3709,0.4085,0.2614,1.0858,1.924,1.3198,1.1665,0.8515,1.0526
0,0.695,0,0,0.5049,1.1137,2.3119,2.1869,2.6014,0.8053,1.8876
0.94,1.5816,0.9411,1.1729,1.119,1.3973,1.2731,1.4149,1.7136,1.5204,1.6164
2.7444,3.4791,2.9967,3.0483,3.2487,3.4831,3.5683,3.4909,3.4543,3.2691,3.3477
3.692,4.2988,3.9527,3.6351,3.7941,4.1291,4.3926,3.9555,4.5138,4.617,4.3673
2.5368,3.9016,3.7695,3.1969,3.4031,4.8867,5.3803,6.0826,5.9351,4.9484,5.9022
2.412,3.351,1.9244,3.6832,3.3114,5.6882,5.8941,6.1725,6.5431,5.1673,6.5101
0.7019,1.0161,0.8039,0.951,0.1374,0.9849,2.2977,0.9248,1.3238,1.5284,1.299
0,0.1542,0,0,0,0.1456,0.6014,0,0.4161,0.2696,0.228
2.9427,3.1949,2.8515,3.43,2.1216,3.7092,4.2,4.7404,5.0159,3.2222,4.1001
2.4491,3.3315,1.8383,2.6963,2.6961,3.4154,3.7645,3.3706,3.1671,2.8977,3.1747
0.0539,0.1084,0.058,0.1487,0.0884,0.1792,0.2812,0.1693,0.1677,0.1504,0.1972
1.3956,2.1162,1.3567,1.2933,1.2212,2.4788,2.9708,2.5862,2.9489,1.0697,2.7708
0.5527,0.8939,0.6463,0.8374,0.8398,1.6042,1.7065,1.6329,1.4081,1.4459,1.6573
0.4106,0.9859,0.3265,0.2137,0.548,0.7972,1.5631,1.5383,1.6523,0.7566,0.804
0,0.0355,0,0,0,0.081,0.0925,0.0198,0.0827,0,0.0358
3.4138,3.8669,3.5423,3.4254,3.3555,4.1829,4.0074,4.3757,4.1643,3.7506,4.3579
3.5607,4.1542,3.5243,3.6834,3.5425,4.1968,4.6249,4.0955,4.1132,4.6225,4.8459
0,0.137,0,0.2064,0,0.1293,0.5448,0.2878,0.2592,0.2989,0.2182
1.5935,1.8442,1.4704,1.7962,1.6961,2.0313,2.404,2.1364,2.0395,2.3106,2.323
3.2054,3.9599,3.5237,3.456,3.7318,3.9242,3.9363,3.9462,4.1502,4.0973,4.1316
1.697,2.1189,1.589,1.7845,1.7991,2.3359,2.5606,2.9743,2.9692,2.9441,2.7302
2.6471,3.6389,3.5377,3.3841,1.9018,3.5926,3.7145,3.5362,4,3.0541,3.5558
1.7586,1.9435,1.5185,1.7947,1.7248,2.4169,2.5163,2.9016,2.8296,2.6688,2.6718
1.9708,2.4394,1.8634,2.2486,1.49,3.1737,3.5252,3.1464,2.3642,2.9339,2.6005
1.1331,1.4489,0.9723,1.3982,1.0103,2.3477,2.9349,3.3787,3.1294,1.9161,1.8531
0,0.118,0.1319,0.0788,0.12,0.1478,0.324,0.2163,0.3789,0.1684,0.2668
0.1703,1.3553,0.5865,0.4465,0.4454,1.1565,1.2406,0.6916,1.0831,0.9306,0.4665
